DollarSales	UnitSales	VolumeSales	DisplayStores	Feature_DisplayStores	FeatureStores	PriceReductionStores 
40501.332	1074	1074	0.00	0.00	0.00	4.88
5978.961	128.369	128.369	0.00	0.00	0.00	0.00
31154.342	763.424	763.424	0.00	0.00	0.00	0.00
10424.705	213.484	213.484	0.00	0.00	0.00	0.00
177317.938	4551.321	4551.321	1.81	0.00	0.00	0.00
199895.297	3989.289	3989.289	0.00	0.00	0.00	14.15
75983.789	1560.164	1560.164	100.00	0.00	0.00	2.14
196564.953	4369.202	4369.202	0.00	0.00	0.00	0.00
48738.77	1283	1283	0.00	0.00	0.00	14.07
6103.63	130.454	130.454	0.00	0.00	0.00	0.00
32291.709	735.352	735.352	0.00	0.00	0.00	5.26
9604.145	195.277	195.277	0.00	0.00	0.00	0.00
203083.922	5212.302	5212.302	3.11	0.00	0.00	0.00
205769.328	4095.827	4095.827	0.00	0.00	0.00	15.18
81633.078	1676.142	1676.142	0.00	0.00	0.00	19.12
173455.797	3415.12	3415.12	0.00	0.00	0.00	0.00
58249.254	1550	1550	0.00	0.00	21.23	0.00
5777.666	124.257	124.257	0.00	0.00	0.00	0.00
30765.398	702.396	702.396	100.00	0.00	0.00	12.35
8671.797	177.266	177.266	0.00	0.00	0.00	0.00
192868.734	4950.916	4950.916	51.61	0.00	0.00	7.54
209619.516	5148.452	5148.452	0.00	0.00	29.15	0.00
71169.867	1467.32	1467.32	0.00	0.00	0.00	25.29
265717.719	6479.638	6479.638	0.00	0.00	0.00	0.00
52210.043	1379	1379	0.00	0.00	0.00	100.00
6018.582	129.356	129.356	0.00	0.00	0.00	0.00
32234.352	732.264	732.264	29.70	0.00	0.00	78.58
8733.461	179.496	179.496	0.00	0.00	0.00	0.00
215203.891	5524.368	5524.368	37.95	0.00	0.00	0.00
195310.281	3906.376	3906.376	0.00	0.00	0.00	31.82
76781.188	1593.326	1593.326	0.00	0.00	0.00	34.99
201556.422	4048.286	4048.286	0.00	0.00	0.00	0.00
43419.508	1127	1127	0.00	0.00	0.00	21.14
6009.396	129.189	129.189	0.00	0.00	0.00	0.00
30918.697	706.21	706.21	100.00	0.00	0.00	0.00
9373.898	211.61	211.61	0.00	0.00	0.00	0.00
185357.203	4759.425	4759.425	36.80	0.00	0.00	7.10
193143.328	3856.105	3856.105	0.00	0.00	0.00	51.08
99801.305	2414.411	2414.411	0.00	100.00	53.95	0.00
163415.312	3217.487	3217.487	0.00	0.00	0.00	0.00
50117.984	1308	1308	0.00	0.00	0.00	1.44
6474.71	138.132	138.132	0.00	0.00	0.00	0.00
35689.637	809.958	809.958	100.00	0.00	0.00	0.00
8938.706	198.578	198.578	0.00	0.00	0.00	0.00
223543.406	5737.219	5737.219	18.14	0.00	0.00	0.00
289405.594	6658.896	6658.896	0.00	0.00	39.31	0.00
80853.461	1668.306	1668.306	0.00	0.00	0.00	1.12
285367.438	6945.351	6945.351	0.00	0.00	0.00	0.00
50563.406	1311.623	1311.623	0.00	0.00	0.00	11.04
6421.629	137	137	0.00	0.00	0.00	0.00
31379.043	736.349	736.349	0.00	0.00	0.00	0.00
9619.312	216.611	216.611	0.00	0.00	0.00	0.00
212426.922	5454.143	5454.143	0.00	0.00	0.00	37.44
217522.344	4334.699	4334.699	0.00	0.00	0.00	100.00
76750.648	1569.111	1569.111	0.00	0.00	0.00	53.58
163726.578	3314.559	3314.559	0.00	0.00	0.00	0.00
65271.66	1710.954	1710.954	0.00	0.00	0.03	0.00
6975.5	150	150	0.00	0.00	0.00	0.00
38571.398	928	928	37.37	0.00	0.00	0.00
8498.347	192.035	192.035	0.00	0.00	0.00	0.00
233701.109	5999.419	5999.419	4.40	0.00	0.00	0.00
212634.281	4236.104	4236.104	0.00	0.00	0.00	67.80
80314.453	1665.131	1665.131	75.45	0.00	0.00	28.51
171337.219	3376.322	3376.322	0.00	0.00	0.00	0.00
60679.574	1719.09	1719.09	0.00	0.00	0.00	11.00
8258.04	196	196	0.00	0.00	15.92	0.00
36065.863	877	877	0.00	0.00	0.00	0.00
10227.368	228.046	228.046	0.00	0.00	0.00	0.00
226843.562	5823.525	5823.525	23.79	0.00	0.00	0.00
261892.656	6435.465	6435.465	0.00	0.00	11.37	0.00
108596.07	2632.233	2632.233	0.00	49.26	45.59	0.00
277106.688	6753.106	6753.106	0.00	0.00	0.00	0.00
50340.66	1468.639	1468.639	0.00	0.00	0.00	0.25
6219.669	133	133	0.00	0.00	0.00	0.00
30101.959	715	715	0.00	0.00	0.00	0.00
8251.08	174	174	0.00	0.00	0.00	0.00
204200.031	5241.129	5241.129	41.11	0.00	0.00	0.00
197940.203	3944.495	3944.495	0.00	0.00	0.00	3.61
80321.07	1643.142	1643.142	100.00	0.00	0.00	0.10
202951.016	4876.258	4876.258	0.00	0.00	0.00	0.00
49406.727	1398.658	1398.658	0.00	0.00	0.00	0.00
7539.389	161	161	0.00	0.00	0.00	0.00
30630.055	690	690	88.68	0.00	0.00	1.01
7695.376	159.108	159.108	0.00	0.00	0.00	0.00
209617.5	5380.563	5380.563	51.75	0.00	0.00	0.00
200745.203	3990.661	3990.661	0.00	0.00	0.00	51.60
77162.953	1576.131	1576.131	100.00	0.00	0.00	5.77
